ID,datetime,temperature,precipitation,windspeed,humidity,dew_point,sunshine,solar_radiation,snowfall,cloud_cover,visibility,ground_temp,weekday,holiday,count
1,2015-09-19 00:00:00,20.2,0.0,0.8,60.0,12.1,0.0,0.0,0.0,4.0,2000.0,19.1,Saturday,0,1
2,2015-09-19 01:00:00,19.5,0.0,1.2,63.0,12.2,0.0,0.0,0.0,,2000.0,18.3,Saturday,0,2
3,2015-09-19 07:00:00,17.2,0.0,2.0,75.0,12.7,0.3,0.09,0.0,3.0,2000.0,17.0,Saturday,0,1
4,2015-09-19 08:00:00,19.2,0.0,1.9,63.0,11.9,1.0,0.55,0.0,4.0,1800.0,19.7,Saturday,0,2
5,2015-09-19 09:00:00,21.1,0.0,1.0,57.0,12.2,1.0,1.12,0.0,4.0,1800.0,25.3,Saturday,0,21
6,2015-09-19 10:00:00,23.4,0.0,1.4,53.0,13.2,1.0,1.69,0.0,0.0,1500.0,33.7,Saturday,0,24
7,2015-09-19 11:00:00,25.4,0.0,2.6,47.0,13.2,1.0,2.09,0.0,1.0,1500.0,40.0,Saturday,0,19
8,2015-09-19 12:00:00,26.6,0.0,3.3,40.0,11.8,1.0,2.31,0.0,3.0,1400.0,44.1,Saturday,0,23
9,2015-09-19 13:00:00,27.5,0.0,2.6,36.0,11.0,1.0,2.33,0.0,3.0,1400.0,44.9,Saturday,0,39
10,2015-09-19 14:00:00,27.5,0.0,2.9,37.0,11.5,1.0,1.93,0.0,3.0,1500.0,41.0,Saturday,0,55
11,2015-09-19 15:00:00,28.8,0.0,2.8,34.0,11.3,1.0,2.09,0.0,3.0,1500.0,41.8,Saturday,0,64
12,2015-09-19 16:00:00,28.8,0.0,3.7,31.0,9.9,1.0,1.66,0.0,2.0,1500.0,35.8,Saturday,0,74
13,2015-09-19 17:00:00,27.2,0.0,5.0,45.0,14.2,1.0,1.09,0.0,0.0,1500.0,29.4,Saturday,0,73
14,2015-09-19 18:00:00,25.1,0.0,4.4,48.0,13.3,1.0,0.46,0.0,0.0,1500.0,25.9,Saturday,0,66
15,2015-09-19 19:00:00,23.0,0.0,3.4,56.0,13.7,0.2,0.04,0.0,,2000.0,23.3,Saturday,0,45
16,2015-09-19 20:00:00,21.8,0.0,4.6,58.0,13.1,0.0,0.0,0.0,,2000.0,22.0,Saturday,0,38
17,2015-09-19 21:00:00,21.3,0.0,3.9,65.0,14.4,0.0,0.0,0.0,0.0,2000.0,21.2,Saturday,0,48
18,2015-09-19 22:00:00,20.9,0.0,2.0,73.0,15.8,0.0,0.0,0.0,,2000.0,20.3,Saturday,0,27
19,2015-09-19 23:00:00,20.7,0.0,1.4,79.0,16.9,0.0,0.0,0.0,,1400.0,19.9,Saturday,0,28
20,2015-09-20 00:00:00,20.2,0.0,0.8,80.0,16.6,0.0,0.0,0.0,0.0,1300.0,19.2,Sunday,0,11
21,2015-09-20 01:00:00,19.9,0.0,0.1,82.0,16.7,0.0,0.0,0.0,,1000.0,18.7,Sunday,0,1
22,2015-09-20 03:00:00,18.9,0.0,0.8,86.0,16.4,0.0,0.0,0.0,0.0,700.0,18.0,Sunday,0,1
23,2015-09-20 05:00:00,17.9,0.0,0.9,83.0,14.9,0.0,0.0,0.0,5.0,1600.0,17.2,Sunday,0,3
24,2015-09-20 06:00:00,18.2,0.0,2.3,81.0,14.8,,,0.0,7.0,1700.0,18.5,Sunday,0,1
25,2015-09-20 07:00:00,18.6,0.0,1.8,78.0,14.6,0.0,0.05,0.0,10.0,900.0,19.8,Sunday,0,4
26,2015-09-20 08:00:00,19.3,0.0,1.6,78.0,15.3,0.0,0.15,0.0,10.0,900.0,21.1,Sunday,0,7
27,2015-09-20 09:00:00,20.4,0.0,1.5,74.0,15.6,0.0,0.41,0.0,9.0,800.0,23.7,Sunday,0,23
28,2015-09-20 10:00:00,22.0,0.0,2.1,69.0,16.0,0.5,0.95,0.0,8.0,800.0,28.1,Sunday,0,24
29,2015-09-20 11:00:00,23.9,0.0,1.1,62.0,16.1,0.9,1.61,0.0,6.0,900.0,36.3,Sunday,0,29
30,2015-09-20 12:00:00,26.2,0.0,2.1,52.0,15.5,1.0,2.06,0.0,6.0,1100.0,41.6,Sunday,0,24
31,2015-09-20 13:00:00,27.5,0.0,3.3,45.0,14.4,1.0,2.44,0.0,6.0,1300.0,44.8,Sunday,0,32
32,2015-09-20 14:00:00,27.1,0.0,3.4,45.0,14.1,1.0,2.1,0.0,6.0,1400.0,41.1,Sunday,0,88
33,2015-09-20 15:00:00,26.5,0.0,3.2,48.0,14.5,0.8,1.34,0.0,8.0,1700.0,35.8,Sunday,0,83
34,2015-09-20 16:00:00,26.3,0.0,4.2,49.0,14.7,1.0,1.18,0.0,8.0,1700.0,33.3,Sunday,0,79
35,2015-09-20 17:00:00,26.4,0.0,2.5,49.0,14.8,1.0,0.91,0.0,7.0,1800.0,30.3,Sunday,0,81
36,2015-09-20 18:00:00,25.0,0.0,2.7,51.0,14.1,0.5,0.32,0.0,6.0,2000.0,26.1,Sunday,0,78
37,2015-09-20 19:00:00,23.5,0.0,2.7,59.0,15.0,0.0,0.06,0.0,,2000.0,23.5,Sunday,0,60
38,2015-09-20 20:00:00,22.3,0.0,2.5,66.0,15.6,0.0,0.0,0.0,,1800.0,22.0,Sunday,0,74
39,2015-09-20 21:00:00,21.4,0.0,2.8,75.0,16.7,0.0,0.0,0.0,0.0,1000.0,21.1,Sunday,0,49
40,2015-09-20 22:00:00,20.9,0.0,2.3,80.0,17.3,0.0,0.0,0.0,,1000.0,20.2,Sunday,0,43
41,2015-09-20 23:00:00,20.5,0.0,1.3,84.0,17.6,0.0,0.0,0.0,,800.0,19.6,Sunday,0,19
42,2015-09-21 00:00:00,19.9,0.0,0.2,85.0,17.2,0.0,0.0,0.0,0.0,800.0,18.7,Monday,0,7
43,2015-09-21 01:00:00,19.3,0.0,0.3,84.0,16.5,0.0,0.0,0.0,,800.0,18.0,Monday,0,1
44,2015-09-21 02:00:00,18.9,0.0,0.1,86.0,16.4,0.0,0.0,0.0,,800.0,17.5,Monday,0,1
45,2015-09-21 04:00:00,17.8,0.0,1.9,87.0,15.6,0.0,0.0,0.0,0.0,700.0,16.9,Monday,0,2
46,2015-09-21 05:00:00,17.2,0.0,1.5,88.0,15.1,0.0,0.0,0.0,0.0,700.0,16.5,Monday,0,1
47,2015-09-21 06:00:00,16.7,0.0,1.8,89.0,14.8,,,0.0,0.0,500.0,16.0,Monday,0,3
48,2015-09-21 07:00:00,16.7,0.0,1.9,88.0,14.6,0.0,0.07,0.0,0.0,500.0,16.7,Monday,0,8
49,2015-09-21 08:00:00,18.3,0.0,1.7,77.0,14.1,0.8,0.44,0.0,0.0,700.0,19.6,Monday,0,9
50,2015-09-21 09:00:00,20.7,0.0,1.4,67.0,14.3,1.0,1.03,0.0,0.0,700.0,24.5,Monday,0,7
51,2015-09-21 10:00:00,23.1,0.0,1.5,60.0,14.9,1.0,1.51,0.0,4.0,800.0,31.4,Monday,0,13
52,2015-09-21 11:00:00,25.2,0.0,1.0,52.0,14.6,1.0,1.98,0.0,2.0,1100.0,38.6,Monday,0,20
53,2015-09-21 12:00:00,25.8,0.0,2.7,51.0,14.8,0.9,1.49,0.0,2.0,900.0,35.9,Monday,0,24
54,2015-09-21 13:00:00,25.5,0.0,0.6,47.0,13.3,0.4,0.89,0.0,5.0,1200.0,32.2,Monday,0,15
55,2015-09-21 14:00:00,28.4,0.0,2.0,35.0,11.4,0.9,1.97,0.0,3.0,1500.0,41.7,Monday,0,15
56,2015-09-21 15:00:00,28.8,0.0,2.5,34.0,11.3,1.0,1.97,0.0,1.0,1700.0,40.1,Monday,0,22
57,2015-09-21 16:00:00,29.2,0.0,2.2,31.0,10.3,1.0,1.48,0.0,1.0,1800.0,34.3,Monday,0,33
58,2015-09-21 17:00:00,28.4,0.0,1.4,30.0,9.1,1.0,0.9,0.0,0.0,1900.0,28.6,Monday,0,34
59,2015-09-21 18:00:00,27.0,0.0,2.3,33.0,9.3,1.0,0.37,0.0,0.0,2000.0,25.2,Monday,0,55
60,2015-09-21 19:00:00,25.0,0.0,2.1,55.0,15.3,0.0,0.04,0.0,,1900.0,23.0,Monday,0,45
61,2015-09-21 20:00:00,23.4,0.0,2.6,63.0,15.9,0.0,0.0,0.0,,1800.0,21.8,Monday,0,55
62,2015-09-21 21:00:00,22.6,0.0,2.0,67.0,16.1,0.0,0.0,0.0,0.0,1500.0,21.0,Monday,0,47
63,2015-09-21 22:00:00,22.2,0.0,1.7,67.0,15.7,0.0,0.0,0.0,,1600.0,20.4,Monday,0,60
64,2015-09-21 23:00:00,21.4,0.0,1.4,64.0,14.3,0.0,0.0,0.0,,2000.0,19.1,Monday,0,24
65,2015-09-22 00:00:00,20.4,0.0,1.8,69.0,14.5,0.0,0.0,0.0,0.0,1800.0,18.4,Tuesday,0,11
