variable,level,bottom_quantile,top_quantile,delta_top_minus_bottom
history,mean,237.86245312499994,378.42342578125005,140.5609726562501
recency,mean,6.8265625,4.377734375,-2.4488281249999995
womens,0,0.853515625,0.00390625,-0.849609375
womens,1,0.146484375,0.99609375,0.849609375
mens,0,0.05859375,0.588671875,0.530078125
mens,1,0.94140625,0.411328125,-0.530078125
channel,Web,0.70234375,0.38828125,-0.3140625
history_segment,1) $0 - $100,0.4234375,0.155859375,-0.267578125
zip_code,Rural,0.434765625,0.189453125,-0.2453125
channel,Phone,0.212890625,0.396484375,0.18359375
zip_code,Urban,0.263671875,0.408203125,0.14453125
history_segment,3) $200 - $350,0.15390625,0.288671875,0.13476562500000003
channel,Multichannel,0.084765625,0.215234375,0.13046875000000002
zip_code,Surburban,0.3015625,0.40234375,0.10078124999999999
history_segment,5) $500 - $750,0.06953125,0.148046875,0.07851562499999999
history_segment,2) $100 - $200,0.21328125,0.13828125,-0.07500000000000001
history_segment,4) $350 - $500,0.08671875,0.158984375,0.07226562500000001
history_segment,"6) $750 - $1,000",0.015625,0.06484375,0.049218750000000006
newbie,0,0.49296875,0.448828125,-0.04414062499999999
newbie,1,0.50703125,0.551171875,0.04414062499999993
history_segment,"7) $1,000 +",0.0375,0.0453125,0.0078125
