policy,budget,outcome,contact_rate,contacts,budget_feasible,incremental_value,ci_low,ci_high,delta_vs_propensity,delta_ci_low,delta_ci_high
propensity,0.05,visit,0.05,640,True,0.003164062500000001,-0.0011748046874999955,0.006914062500000001,0.0,0.0,0.0
propensity,0.05,spend,0.05,640,True,0.055523437500000015,-0.025242011718749978,0.14992822265625005,0.0,0.0,0.0
propensity,0.1,visit,0.1,1280,True,0.009375000000000001,0.0038613281250000045,0.015120117187500004,0.0,0.0,0.0
propensity,0.1,spend,0.1,1280,True,0.04572773437500002,-0.09133470703124998,0.16577727539062517,0.0,0.0,0.0
propensity,0.15,visit,0.15,1920,True,0.014882812500000004,0.008311523437500008,0.02112011718750001,0.0,0.0,0.0
propensity,0.15,spend,0.15,1920,True,0.06636093750000002,-0.09174231445312499,0.1978569140625,0.0,0.0,0.0
propensity,0.2,visit,0.2,2560,True,0.02015625,0.01357910156250001,0.027665039062500008,0.0,0.0,0.0
propensity,0.2,spend,0.2,2560,True,0.07626093750000003,-0.1910080664062499,0.3131894824218752,0.0,0.0,0.0
propensity,0.25,visit,0.25,3200,True,0.0209765625,0.01216406250000001,0.02906542968750001,0.0,0.0,0.0
propensity,0.25,spend,0.25,3200,True,0.14822695312500003,-0.13331100585937494,0.43119474609375,0.0,0.0,0.0
propensity,0.3,visit,0.3,3840,True,0.026250000000000006,0.017311523437500014,0.03469042968750001,0.0,0.0,0.0
propensity,0.3,spend,0.3,3840,True,0.24027539062500008,-0.10332621093749988,0.5997603515625002,0.0,0.0,0.0
propensity,0.35,visit,0.35,4480,True,0.030234375000000008,0.02026464843750002,0.03808593750000001,0.0,0.0,0.0
propensity,0.35,spend,0.35,4480,True,0.2795226562500001,-0.04285617187499992,0.6588433886718751,0.0,0.0,0.0
propensity,0.4,visit,0.4,5120,True,0.03199218750000001,0.020853515625000017,0.04019531250000001,0.0,0.0,0.0
propensity,0.4,spend,0.4,5120,True,0.3685125000000001,0.009891914062500035,0.7323329589843753,0.0,0.0,0.0
propensity,0.45,visit,0.45,5760,True,0.03480468750000001,0.02318847656250002,0.04312500000000001,0.0,0.0,0.0
propensity,0.45,spend,0.45,5760,True,0.32877773437500013,-0.058487812499999924,0.687750673828125,0.0,0.0,0.0
propensity,0.5,visit,0.5,6400,True,0.03539062500000001,0.02340527343750002,0.044885742187500015,0.0,0.0,0.0
