policy,budget,budget_feasible,contact_rate,incremental_spend_per_customer,gross_margin,email_cost,incremental_revenue,gross_profit,campaign_cost,net_profit,roi,value_per_1000,break_even_cost
propensity,0.05,True,0.05,0.055523437500000015,0.3,0.02,710.7000000000002,213.21000000000004,12.8,200.41000000000003,15.657031250000001,15.657031250000001,0.333140625
propensity,0.05,True,0.05,0.055523437500000015,0.3,0.05,710.7000000000002,213.21000000000004,32.00000000000001,181.21000000000004,5.6628125,14.157031250000003,0.333140625
propensity,0.05,True,0.05,0.055523437500000015,0.3,0.1,710.7000000000002,213.21000000000004,64.00000000000001,149.21000000000004,2.33140625,11.657031250000003,0.333140625
propensity,0.05,True,0.05,0.055523437500000015,0.5,0.02,710.7000000000002,355.3500000000001,12.8,342.55000000000007,26.761718750000004,26.761718750000007,0.5552343750000002
propensity,0.05,True,0.05,0.055523437500000015,0.5,0.05,710.7000000000002,355.3500000000001,32.00000000000001,323.3500000000001,10.1046875,25.261718750000007,0.5552343750000002
propensity,0.05,True,0.05,0.055523437500000015,0.5,0.1,710.7000000000002,355.3500000000001,64.00000000000001,291.3500000000001,4.55234375,22.761718750000007,0.5552343750000002
propensity,0.05,True,0.05,0.055523437500000015,0.7,0.02,710.7000000000002,497.49000000000007,12.8,484.69000000000005,37.866406250000004,37.866406250000004,0.777328125
propensity,0.05,True,0.05,0.055523437500000015,0.7,0.05,710.7000000000002,497.49000000000007,32.00000000000001,465.49000000000007,14.546562499999999,36.366406250000004,0.777328125
propensity,0.05,True,0.05,0.055523437500000015,0.7,0.1,710.7000000000002,497.49000000000007,64.00000000000001,433.49000000000007,6.773281249999999,33.86640625000001,0.777328125
propensity,0.1,True,0.1,0.04572773437500002,0.3,0.02,585.3150000000003,175.59450000000007,25.6,149.99450000000007,5.859160156250002,11.718320312500007,0.13718320312500004
propensity,0.1,True,0.1,0.04572773437500002,0.3,0.05,585.3150000000003,175.59450000000007,64.00000000000001,111.59450000000005,1.7436640625000004,8.718320312500005,0.13718320312500004
propensity,0.1,True,0.1,0.04572773437500002,0.3,0.1,585.3150000000003,175.59450000000007,128.00000000000003,47.59450000000004,0.37183203125000025,3.718320312500003,0.13718320312500004
propensity,0.1,True,0.1,0.04572773437500002,0.5,0.02,585.3150000000003,292.65750000000014,25.6,267.0575000000001,10.431933593750005,20.86386718750001,0.22863867187500012
propensity,0.1,True,0.1,0.04572773437500002,0.5,0.05,585.3150000000003,292.65750000000014,64.00000000000001,228.65750000000014,3.5727734375000013,17.86386718750001,0.22863867187500012
propensity,0.1,True,0.1,0.04572773437500002,0.5,0.1,585.3150000000003,292.65750000000014,128.00000000000003,164.6575000000001,1.2863867187500007,12.86386718750001,0.22863867187500012
propensity,0.1,True,0.1,0.04572773437500002,0.7,0.02,585.3150000000003,409.7205000000002,25.6,384.12050000000016,15.004707031250005,30.009414062500014,0.3200941406250001
propensity,0.1,True,0.1,0.04572773437500002,0.7,0.05,585.3150000000003,409.7205000000002,64.00000000000001,345.7205000000002,5.401882812500002,27.009414062500014,0.3200941406250001
